07/31 07:00:57 PM | Valid: [ 2/200] Step 290/380 Loss 5.031 Prec@(1,5) (6.6%, 19.6%)
07/31 07:01:03 PM | Valid: [ 2/200] Step 300/380 Loss 5.035 Prec@(1,5) (6.6%, 19.3%)
07/31 07:01:08 PM | Valid: [ 2/200] Step 310/380 Loss 5.040 Prec@(1,5) (6.6%, 19.1%)
07/31 07:03:07 PM | Logger is set 
07/31 07:03:07 PM | Logger without distribution
07/31 07:03:36 PM | Initializing dataset used 29.520702600479126 basic time unit
07/31 07:03:36 PM | The training classes labels length :  751
07/31 07:04:47 PM | batch loading time example is 71.06217312812805
07/31 07:06:14 PM | Train: [ 1/200] Step 010/380 Loss 9.181 Prec@(1,5) (0.6%, 1.9%)
07/31 07:06:22 PM | Train: [ 1/200] Step 020/380 Loss 9.378 Prec@(1,5) (0.5%, 1.7%)
07/31 07:06:28 PM | Train: [ 1/200] Step 030/380 Loss 9.641 Prec@(1,5) (0.4%, 1.7%)
07/31 07:06:35 PM | Train: [ 1/200] Step 040/380 Loss 9.705 Prec@(1,5) (0.4%, 1.4%)
07/31 07:06:42 PM | Train: [ 1/200] Step 050/380 Loss 9.703 Prec@(1,5) (0.4%, 1.3%)
07/31 07:06:50 PM | Train: [ 1/200] Step 060/380 Loss 9.632 Prec@(1,5) (0.4%, 1.5%)
07/31 07:06:57 PM | Train: [ 1/200] Step 070/380 Loss 9.466 Prec@(1,5) (0.4%, 1.5%)
07/31 07:07:06 PM | Train: [ 1/200] Step 080/380 Loss 9.344 Prec@(1,5) (0.4%, 1.6%)
07/31 07:07:14 PM | Train: [ 1/200] Step 090/380 Loss 9.176 Prec@(1,5) (0.4%, 1.7%)
07/31 07:07:21 PM | Train: [ 1/200] Step 100/380 Loss 9.018 Prec@(1,5) (0.4%, 1.7%)
07/31 07:07:29 PM | Train: [ 1/200] Step 110/380 Loss 8.853 Prec@(1,5) (0.4%, 1.8%)
07/31 07:07:37 PM | Train: [ 1/200] Step 120/380 Loss 8.719 Prec@(1,5) (0.5%, 1.9%)
07/31 07:07:43 PM | Train: [ 1/200] Step 130/380 Loss 8.590 Prec@(1,5) (0.5%, 1.9%)
07/31 07:07:50 PM | Train: [ 1/200] Step 140/380 Loss 8.463 Prec@(1,5) (0.5%, 1.9%)
07/31 07:07:57 PM | Train: [ 1/200] Step 150/380 Loss 8.351 Prec@(1,5) (0.5%, 1.9%)
07/31 07:08:03 PM | Train: [ 1/200] Step 160/380 Loss 8.238 Prec@(1,5) (0.5%, 2.0%)
07/31 07:08:10 PM | Train: [ 1/200] Step 170/380 Loss 8.139 Prec@(1,5) (0.6%, 2.0%)
07/31 07:08:18 PM | Train: [ 1/200] Step 180/380 Loss 8.049 Prec@(1,5) (0.6%, 2.2%)
07/31 07:08:24 PM | Train: [ 1/200] Step 190/380 Loss 7.972 Prec@(1,5) (0.6%, 2.3%)
07/31 07:08:31 PM | Train: [ 1/200] Step 200/380 Loss 7.900 Prec@(1,5) (0.7%, 2.4%)
07/31 07:08:37 PM | Train: [ 1/200] Step 210/380 Loss 7.827 Prec@(1,5) (0.7%, 2.4%)
07/31 07:08:44 PM | Train: [ 1/200] Step 220/380 Loss 7.761 Prec@(1,5) (0.7%, 2.4%)
07/31 07:08:50 PM | Train: [ 1/200] Step 230/380 Loss 7.703 Prec@(1,5) (0.7%, 2.5%)
07/31 07:08:57 PM | Train: [ 1/200] Step 240/380 Loss 7.643 Prec@(1,5) (0.8%, 2.6%)
07/31 07:09:04 PM | Train: [ 1/200] Step 250/380 Loss 7.590 Prec@(1,5) (0.8%, 2.6%)
07/31 07:09:11 PM | Train: [ 1/200] Step 260/380 Loss 7.541 Prec@(1,5) (0.8%, 2.8%)
07/31 07:09:17 PM | Train: [ 1/200] Step 270/380 Loss 7.492 Prec@(1,5) (0.8%, 2.8%)
07/31 07:09:23 PM | Train: [ 1/200] Step 280/380 Loss 7.444 Prec@(1,5) (0.9%, 2.9%)
07/31 07:09:29 PM | Train: [ 1/200] Step 290/380 Loss 7.404 Prec@(1,5) (0.9%, 3.0%)
07/31 07:09:36 PM | Train: [ 1/200] Step 300/380 Loss 7.360 Prec@(1,5) (0.9%, 3.1%)
07/31 07:09:42 PM | Train: [ 1/200] Step 310/380 Loss 7.325 Prec@(1,5) (0.9%, 3.1%)
07/31 07:09:48 PM | Train: [ 1/200] Step 320/380 Loss 7.289 Prec@(1,5) (0.9%, 3.1%)
07/31 07:09:54 PM | Train: [ 1/200] Step 330/380 Loss 7.254 Prec@(1,5) (0.9%, 3.2%)
07/31 07:10:01 PM | Train: [ 1/200] Step 340/380 Loss 7.217 Prec@(1,5) (1.0%, 3.4%)
07/31 07:10:11 PM | Train: [ 1/200] Step 350/380 Loss 7.185 Prec@(1,5) (1.0%, 3.4%)
07/31 07:10:17 PM | Train: [ 1/200] Step 360/380 Loss 7.152 Prec@(1,5) (1.0%, 3.5%)
07/31 07:10:24 PM | Train: [ 1/200] Step 370/380 Loss 7.123 Prec@(1,5) (1.0%, 3.5%)
07/31 07:10:30 PM | Train: [ 1/200] Step 380/380 Loss 7.094 Prec@(1,5) (1.0%, 3.5%)
07/31 07:10:38 PM | Train: [ 1/200] Final Prec@1 0.9704%
