07/31 11:21:48 PM | Logger is set 
08/01 11:59:13 AM | Train: [ 2/200] Step 320/380 Loss 32.515 Prec@(1,5) (7.6%, 22.2%)
08/01 11:59:21 AM | Train: [ 2/200] Step 330/380 Loss 32.470 Prec@(1,5) (7.8%, 22.3%)
08/01 11:59:29 AM | Train: [ 2/200] Step 340/380 Loss 32.444 Prec@(1,5) (7.8%, 22.3%)
08/01 11:59:36 AM | Train: [ 2/200] Step 350/380 Loss 32.403 Prec@(1,5) (7.8%, 22.5%)
08/01 11:59:44 AM | Train: [ 2/200] Step 360/380 Loss 32.340 Prec@(1,5) (7.9%, 22.7%)
08/01 11:59:51 AM | Train: [ 2/200] Step 370/380 Loss 32.290 Prec@(1,5) (7.9%, 22.9%)
08/01 11:59:58 AM | Train: [ 2/200] Step 380/380 Loss 32.257 Prec@(1,5) (8.0%, 23.1%)
08/01 12:00:00 PM | Train: [ 2/200] Final Prec@1 7.9687%
08/01 12:02:03 PM | Valid: [ 2/200] Step 000/023 Loss 32.533 Prec@(1,5) (6.2%, 12.5%)
08/01 12:02:13 PM | Valid: [ 2/200] Step 010/023 Loss 32.024 Prec@(1,5) (6.5%, 19.0%)
08/01 12:02:24 PM | Valid: [ 2/200] Step 020/023 Loss 31.889 Prec@(1,5) (6.4%, 20.7%)
08/01 12:02:28 PM | Valid: [ 2/200] Final Prec@1 6.1141%, Prec@5 20.1087%, Prec@10 30.4348%
08/01 12:02:28 PM | Final best Prec@1 = 6.1141%
08/01 12:04:56 PM | Train: [ 3/200] Step 010/380 Loss 29.009 Prec@(1,5) (12.2%, 35.6%)
08/01 12:05:06 PM | Train: [ 3/200] Step 020/380 Loss 29.437 Prec@(1,5) (12.5%, 33.3%)
08/01 12:05:14 PM | Train: [ 3/200] Step 030/380 Loss 29.218 Prec@(1,5) (13.4%, 34.7%)
08/01 12:05:21 PM | Train: [ 3/200] Step 040/380 Loss 29.330 Prec@(1,5) (13.2%, 33.5%)
08/01 12:05:30 PM | Train: [ 3/200] Step 050/380 Loss 29.448 Prec@(1,5) (12.8%, 33.1%)
08/01 12:05:40 PM | Train: [ 3/200] Step 060/380 Loss 29.372 Prec@(1,5) (12.7%, 33.9%)
08/01 12:05:50 PM | Train: [ 3/200] Step 070/380 Loss 29.416 Prec@(1,5) (12.3%, 33.9%)
08/01 12:05:57 PM | Train: [ 3/200] Step 080/380 Loss 29.293 Prec@(1,5) (12.8%, 34.6%)
08/01 12:06:02 PM | Train: [ 3/200] Step 090/380 Loss 29.318 Prec@(1,5) (12.5%, 34.5%)
08/01 12:06:09 PM | Train: [ 3/200] Step 100/380 Loss 29.249 Prec@(1,5) (12.8%, 34.9%)
